LGA_CODE21,LGA_NAME21,AREASQKM21,stops_count,Bus,Regional,Train,Tram,stops_per_sqkm,stops_per_100sqkm,metro_density_rank,metro_density_group
21450,Cardinia,1282.5671,378,346,7,25,0,0.295,29.5,31,Lowest 8
27450,Yarra Ranges,2468.2052,782,765,3,14,0,0.317,31.7,30,Lowest 8
25710,Nillumbik,432.3373,277,230,0,47,0,0.641,64.1,29,Lowest 8
25340,Mornington Peninsula,723.992,693,677,0,16,0,0.957,95.7,28,Lowest 8
24650,Melton,527.5374,574,558,4,12,0,1.088,108.8,27,Lowest 8
27260,Wyndham,542.0943,1047,982,3,62,0,1.931,193.1,26,Lowest 8
27070,Whittlesea,489.6938,1017,914,5,89,9,2.077,207.7,25,Lowest 8
23270,Hume,503.8488,1135,1041,5,89,0,2.253,225.3,24,Lowest 8
25250,Moreland,50.9522,882,682,1,81,118,17.31,1731.0,8,Highest 8
21890,Darebin,53.4712,952,706,0,133,113,17.804,1780.4,7,Highest 8
24330,Maribyrnong,31.2258,583,396,1,140,46,18.67,1867.0,6,Highest 8
22310,Glen Eira,38.6908,759,513,0,135,111,19.617,1961.7,5,Highest 8
25900,Port Phillip,20.6141,414,216,0,30,168,20.083,2008.3,4,Highest 8
26350,Stonnington,25.651,540,205,0,113,222,21.052,2105.2,3,Highest 8
24600,Melbourne,37.5452,849,258,2,305,284,22.613,2261.3,2,Highest 8
27350,Yarra,19.5421,443,132,0,163,148,22.669,2266.9,1,Highest 8
