Year,Month,Month name,date,mode,patronage,patronage_millions
2018,1,January,2018-01-01,Metropolitan train,16809932.0,16.809932
2018,2,February,2018-02-01,Metropolitan train,19554477.0,19.554477
2018,3,March,2018-03-01,Metropolitan train,22659010.0,22.65901
2018,4,April,2018-04-01,Metropolitan train,20312040.0,20.31204
2018,5,May,2018-05-01,Metropolitan train,22768447.0,22.768447
2018,6,June,2018-06-01,Metropolitan train,19284755.0,19.284755
2018,7,July,2018-07-01,Metropolitan train,20732099.0,20.732099
2018,8,August,2018-08-01,Metropolitan train,22566766.0,22.566766
2018,9,September,2018-09-01,Metropolitan train,20056487.0,20.056487
2018,10,October,2018-10-01,Metropolitan train,22299761.0,22.299761
2018,11,November,2018-11-01,Metropolitan train,20806123.0,20.806123
2018,12,December,2018-12-01,Metropolitan train,16665365.0,16.665365
2019,1,January,2019-01-01,Metropolitan train,17074623.0,17.074623
2019,2,February,2019-02-01,Metropolitan train,20011823.0,20.011823
2019,3,March,2019-03-01,Metropolitan train,22250796.0,22.250796
2019,4,April,2019-04-01,Metropolitan train,18579825.0,18.579825
2019,5,May,2019-05-01,Metropolitan train,23045436.0,23.045436
2019,6,June,2019-06-01,Metropolitan train,19099513.0,19.099513
2019,7,July,2019-07-01,Metropolitan train,20771347.0,20.771347
2019,8,August,2019-08-01,Metropolitan train,22618021.0,22.618021
2019,9,September,2019-09-01,Metropolitan train,20593343.0,20.593343
2019,10,October,2019-10-01,Metropolitan train,22429337.0,22.429337
2019,11,November,2019-11-01,Metropolitan train,20413342.0,20.413342
2019,12,December,2019-12-01,Metropolitan train,17890229.0,17.890229
2020,1,January,2020-01-01,Metropolitan train,17015987.0,17.015987
2020,2,February,2020-02-01,Metropolitan train,19811543.0,19.811543
2020,3,March,2020-03-01,Metropolitan train,13746958.0,13.746958
2020,4,April,2020-04-01,Metropolitan train,2165747.0,2.165747
2020,5,May,2020-05-01,Metropolitan train,3670296.0,3.670296
2020,6,June,2020-06-01,Metropolitan train,6432121.0,6.432121
2020,7,July,2020-07-01,Metropolitan train,3963903.0,3.963903
2020,8,August,2020-08-01,Metropolitan train,1887499.0,1.887499
2020,9,September,2020-09-01,Metropolitan train,1931257.0,1.931257
2020,10,October,2020-10-01,Metropolitan train,3388960.0,3.38896
2020,11,November,2020-11-01,Metropolitan train,6439402.0,6.439402
2020,12,December,2020-12-01,Metropolitan train,7868276.0,7.868276
2021,1,January,2021-01-01,Metropolitan train,7231312.0,7.231312
2021,2,February,2021-02-01,Metropolitan train,7822660.0,7.82266
2021,3,March,2021-03-01,Metropolitan train,11852314.0,11.852314
2021,4,April,2021-04-01,Metropolitan train,11632636.0,11.632636
2021,5,May,2021-05-01,Metropolitan train,11375712.0,11.375712
2021,6,June,2021-06-01,Metropolitan train,6321515.0,6.321515
2021,7,July,2021-07-01,Metropolitan train,7512489.0,7.512489
2021,8,August,2021-08-01,Metropolitan train,3954587.0,3.954587
2021,9,September,2021-09-01,Metropolitan train,2769485.0,2.769485
2021,10,October,2021-10-01,Metropolitan train,3995863.0,3.995863
2021,11,November,2021-11-01,Metropolitan train,8341146.0,8.341146
2021,12,December,2021-12-01,Metropolitan train,9127862.0,9.127862
2022,1,January,2022-01-01,Metropolitan train,5778986.0,5.778986
2022,2,February,2022-02-01,Metropolitan train,8382008.0,8.382008
2022,3,March,2022-03-01,Metropolitan train,13045722.0,13.045722
2022,4,April,2022-04-01,Metropolitan train,11890697.0,11.890697
2022,5,May,2022-05-01,Metropolitan train,12833409.0,12.833409
2022,6,June,2022-06-01,Metropolitan train,11842624.0,11.842624
2022,7,July,2022-07-01,Metropolitan train,12019600.0,12.0196
2022,8,August,2022-08-01,Metropolitan train,13095346.0,13.095346
2022,9,September,2022-09-01,Metropolitan train,12936260.0,12.93626
2022,10,October,2022-10-01,Metropolitan train,12909284.0,12.909284
2022,11,November,2022-11-01,Metropolitan train,13072188.0,13.072188
2022,12,December,2022-12-01,Metropolitan train,11867965.0,11.867965
2023,1,January,2023-01-01,Metropolitan train,10109375.0,10.109375
