STOP_ID,STOP_NAME,MODE,LONGITUDE,LATITUDE
1100,Broadway/Glen Huntly Rd,SKYBUS,144.982220,-37.882118
1109,Inkerman St/Barkly St,SKYBUS,144.981937,-37.863730
1414,Bay St/New St,SKYBUS,144.993277,-37.904098
14948,Moorabbin Station/Nepean Hwy,SKYBUS,145.036197,-37.934615
18766,Sunshine Station/Dickson St,SKYBUS,144.833217,-37.787425
19488,Doncaster Shopping Centre/Williamsons Rd,SKYBUS,145.124989,-37.784023
19648,Box Hill Bus Station/Station St,SKYBUS,145.122141,-37.819828
20394,Head St/New St,SKYBUS,144.995625,-37.891783
20400,North Brighton Station/Bay St,SKYBUS,145.003168,-37.905537
20668,Watsonia Station/Greensborough Hwy,SKYBUS,145.084147,-37.710901
20986,Southland Shopping Centre/Karen St ,SKYBUS,145.053187,-37.957796
21220,Frankston Railway Station/Fletcher Rd,SKYBUS,145.126236,-38.144118
23173,Skybus Coach Terminal/Spencer St,SKYBUS,144.951900,-37.816278
23175,Skybus Coach Terminal/Spencer St,SKYBUS,144.952543,-37.816460
23183,Skybus Coach Terminal/Spencer St,SKYBUS,144.951725,-37.816040
3245,Bay St/New St,SKYBUS,144.993157,-37.903915
3633,North Brighton Station/Bay St,SKYBUS,145.002076,-37.905509
3749,Head St/New St,SKYBUS,144.995467,-37.891735
3752,Elsternwick Station/20 Horne St,SKYBUS,145.000297,-37.885112
40272,Avalon Airport/Outside Terminal,SKYBUS,144.473432,-38.026352
40284,Avalon Airport/Outside Terminal,SKYBUS,144.473432,-38.026352
42273,Chelsea Railway Station/Station St,SKYBUS,145.116213,-38.051940
45511,Melbourne Airport T1 Skybus/Arrival Dr,SKYBUS,144.850681,-37.669331
45513,Melbourne Airport T3 Skybus/Arrival Dr,SKYBUS,144.848741,-37.670936
48578,Melbourne Airport T4 Skybus/Service Rd,SKYBUS,144.849143,-37.672322
48784,Quest/435-437 Nepean Hwy,SKYBUS,145.121580,-38.142349
48787,938 Nepean Hwy,SKYBUS,145.037016,-37.936755
5184,Werribee RSL/Synnot St,SKYBUS,144.664303,-37.901144
7183,Werribee RSL/Synnot St,SKYBUS,144.664524,-37.901347
894,Elsternwick Station/Horne St,SKYBUS,145.000291,-37.884896
901,Ormond Rd/Glen Huntly Rd,SKYBUS,144.983045,-37.882322
910,Fawkner St/Barkly St,SKYBUS,144.981597,-37.864553
9349,Rogers St/Balcombe Rd,SKYBUS,145.069041,-37.981722
9629,Rogers St/Balcombe Rd,SKYBUS,145.069129,-37.981840
20043,Southern Cross Station,INTERSTATE TRAIN,144.952166,-37.818157
20288,Ararat Station,INTERSTATE TRAIN,142.936914,-37.282205
20335,North Shore Station,INTERSTATE TRAIN,144.365321,-38.098377
20600,Adelaide Station,INTERSTATE TRAIN,138.581311,-34.938167
20609,Murray Bridge Station,INTERSTATE TRAIN,139.275554,-35.116644
20614,Bordertown Station,INTERSTATE TRAIN,140.777622,-36.310557
20616,Nhill Station,INTERSTATE TRAIN,141.653890,-36.332222
20617,Dimboola Station,INTERSTATE TRAIN,142.032464,-36.454180
20618,Horsham Station,INTERSTATE TRAIN,142.200555,-36.707501
