year,visitor_type,visitor_trips_000
2020,Interstate overnight,2123.996
2021,Interstate overnight,2144.63
2022,Interstate overnight,5541.158
2023,Interstate overnight,6058.221
2024,Interstate overnight,6361.268
2025,Interstate overnight,6383.322
2020,Intrastate overnight,17236.553
2021,Intrastate overnight,21053.992
2022,Intrastate overnight,25000.488
2023,Intrastate overnight,25080.112
2024,Intrastate overnight,24926.723
2025,Intrastate overnight,24999.847
2020,International overnight,615.0
2021,International overnight,62.0
2022,International overnight,1048.0
2023,International overnight,2051.0
2024,International overnight,2708.0
2025,International overnight,2827.0
